timestamp,host,user,source_ip,auth_method,status,session_duration_sec,failed_attempts,event_type,severity,os,location
2024-03-03 08:32:00,queue-server-01,rabbitmq,192.168.4.10,TOKEN,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:33:00,web-server-05,new_account_001,192.168.7.5,PASSWORD,SUCCESS,7200,0,ANOMALY,MEDIUM,Linux,Office
2024-03-03 08:34:00,load-balancer-01,haproxy,10.0.0.40,TOKEN,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:35:00,db-server-03,mysql_root,45.33.32.156,PASSWORD,FAILURE,0,1,UNAUTHORIZED_ACCESS,HIGH,Linux,Unknown
2024-03-03 08:35:05,db-server-03,mysql_root,45.33.32.156,PASSWORD,FAILURE,0,2,UNAUTHORIZED_ACCESS,HIGH,Linux,Unknown
2024-03-03 08:36:00,ci-cd-server,jenkins,192.168.8.5,TOKEN,SUCCESS,1800,0,NORMAL,LOW,Linux,CI_CD
2024-03-03 08:37:00,win-workstation-30,diana.prince,192.168.1.95,KERBEROS,SUCCESS,28800,0,NORMAL,LOW,Windows,Office
2024-03-03 08:38:00,web-server-01,john.doe,192.168.1.10,PASSWORD,FAILURE,0,1,ANOMALY,MEDIUM,Linux,Office
2024-03-03 08:39:00,logging-server,logstash,192.168.9.5,TOKEN,SUCCESS,86400,0,NORMAL,LOW,Linux,Office
2024-03-03 08:40:00,admin-panel,new_admin,198.51.100.35,PASSWORD,SUCCESS,3600,0,ANOMALY,HIGH,Linux,Unknown
